20250417194645,10.0.4.20,50692,10.0.2.20,5001,1,17.0-18.0,3014656,24117248,,,,,,,,
20250417194646,10.0.4.20,50692,10.0.2.20,5001,1,18.0-19.0,3801088,30408704,,,,,,,,
20250417194647,10.0.4.20,50692,10.0.2.20,5001,1,19.0-20.0,3538944,28311552,,,,,,,,
20250417194648,10.0.4.20,50692,10.0.2.20,5001,1,20.0-21.0,3014656,24117248,,,,,,,,
20250417194649,10.0.4.20,50692,10.0.2.20,5001,1,21.0-22.0,4980736,39845888,,,,,,,,
20250417194650,10.0.4.20,50692,10.0.2.20,5001,1,22.0-23.0,3670016,29360128,,,,,,,,
20250417194651,10.0.4.20,50692,10.0.2.20,5001,1,23.0-24.0,3145728,25165824,,,,,,,,
20250417194652,10.0.4.20,50692,10.0.2.20,5001,1,24.0-25.0,3538944,28311552,,,,,,,,
20250417194653,10.0.4.20,50692,10.0.2.20,5001,1,25.0-26.0,4063232,32505856,,,,,,,,
20250417194654,10.0.4.20,50692,10.0.2.20,5001,1,26.0-27.0,4063232,32505856,,,,,,,,
20250417194655,10.0.4.20,50692,10.0.2.20,5001,1,27.0-28.0,3670016,29360128,,,,,,,,
20250417194655,10.0.4.20,50692,10.0.2.20,5001,1,28.0-28.6,1170204,16624105,,,,,,,,
20250417194655,10.0.4.20,50692,10.0.2.20,5001,1,0.0-28.6,104857600,29368651,,,,,,,,
,,,,,,,,,,,,,,,,
Buffer=64000,Delay=100000,Repeticao=2,,,,,,,,,,,,,,
20250417194722,10.0.4.20,35002,10.0.2.20,5001,1,0.0-1.0,402660,3221280,,,,,,,,
20250417194723,10.0.4.20,35002,10.0.2.20,5001,1,1.0-2.0,917504,7340032,,,,,,,,
20250417194724,10.0.4.20,35002,10.0.2.20,5001,1,2.0-3.0,1048576,8388608,,,,,,,,
20250417194725,10.0.4.20,35002,10.0.2.20,5001,1,3.0-4.0,2228224,17825792,,,,,,,,
20250417194726,10.0.4.20,35002,10.0.2.20,5001,1,4.0-5.0,2228224,17825792,,,,,,,,
20250417194727,10.0.4.20,35002,10.0.2.20,5001,1,5.0-6.0,4325376,34603008,,,,,,,,
20250417194728,10.0.4.20,35002,10.0.2.20,5001,1,6.0-7.0,3670016,29360128,,,,,,,,
20250417194729,10.0.4.20,35002,10.0.2.20,5001,1,7.0-8.0,3932160,31457280,,,,,,,,
20250417194730,10.0.4.20,35002,10.0.2.20,5001,1,8.0-9.0,2883584,23068672,,,,,,,,
20250417194731,10.0.4.20,35002,10.0.2.20,5001,1,9.0-10.0,3145728,25165824,,,,,,,,
20250417194732,10.0.4.20,35002,10.0.2.20,5001,1,10.0-11.0,4456448,35651584,,,,,,,,
